,Date,Open,High,Low,Close,Adj Close,Volume
0,Oct 14 2024,90.00,90.50,87.15,87.46,87.46,36287243
1,Oct 11 2024,91.00,92.25,89.66,90.20,90.20,34321755
2,Oct 10 2024,94.00,95.17,90.00,90.79,90.79,49223674
3,Oct 9 2024,95.32,98.69,93.79,95.78,95.78,57074037
4,Oct 8 2024,86.00,96.78,86.00,95.41,95.41,113352923
5,Oct 7 2024,99.90,100.00,89.55,90.82,90.82,90107948
6,Oct 4 2024,100.00,100.00,95.39,99.05,99.05,43646598
7,Oct 3 2024,100.00,102.19,99.00,99.26,99.26,27994702
8,Oct 1 2024,100.00,103.49,99.15,102.62,102.62,61227119
9,Sep 30 2024,101.71,102.38,97.84,99.62,99.62,51879596
10,Sep 27 2024,104.60,104.87,101.00,102.18,102.18,36452821
11,Sep 26 2024,105.79,106.34,102.30,103.49,103.49,31139206
12,Sep 25 2024,105.37,107.50,101.40,103.02,103.02,54743574
13,Sep 24 2024,108.15,109.90,103.42,104.05,104.05,52943938
14,Sep 23 2024,112.00,112.40,107.50,108.15,108.15,30248266
15,Sep 20 2024,113.00,113.95,110.40,110.99,110.99,26659658
16,Sep 19 2024,116.70,117.49,109.50,111.67,111.67,61441099
17,Sep 18 2024,118.00,123.90,116.10,116.95,116.95,118683852
18,Sep 17 2024,112.95,118.36,110.26,117.96,117.96,163398289
19,Sep 16 2024,112.00,112.18,106.90,107.60,107.60,27173576
20,Sep 13 2024,112.70,114.25,111.00,111.58,111.58,18101301
21,Sep 12 2024,114.60,115.49,111.44,112.64,112.64,33770388
22,Sep 11 2024,115.49,116.50,109.86,113.02,113.02,44903854
23,Sep 10 2024,114.80,119.00,113.39,115.50,115.50,51113502
24,Sep 9 2024,110.00,116.20,103.50,114.58,114.58,93620725
25,Sep 6 2024,111.10,115.05,109.00,109.57,109.57,58560417
26,Sep 5 2024,111.36,119.17,110.33,115.16,115.16,88498741
27,Sep 4 2024,112.55,115.00,109.80,110.80,110.80,30257994
28,Sep 3 2024,114.00,119.30,112.66,113.49,113.49,34112725
29,Sep 2 2024,118.50,119.95,114.00,114.93,114.93,32100435
30,Aug 30 2024,121.30,122.97,117.11,117.93,117.93,39363549
31,Aug 29 2024,125.95,126.99,119.60,120.28,120.28,32236138
32,Aug 28 2024,128.70,129.19,125.00,125.69,125.69,36055940
33,Aug 27 2024,126.00,131.00,125.75,127.53,127.53,62973982
34,Aug 26 2024,123.43,132.70,118.60,125.30,125.30,162419382
35,Aug 23 2024,131.00,132.47,125.55,126.26,126.26,58941772
36,Aug 22 2024,139.00,139.00,126.05,131.32,131.32,107214397
37,Aug 21 2024,143.00,143.50,135.22,138.05,138.05,113015397
38,Aug 20 2024,153.80,157.40,132.65,137.79,137.79,309136273
39,Aug 19 2024,139.39,146.38,136.00,146.38,146.38,192359284
40,Aug 16 2024,121.00,133.08,117.00,133.08,133.08,338763140
41,Aug 14 2024,110.00,113.40,100.36,110.90,110.90,160539788
42,Aug 13 2024,120.98,129.40,105.21,108.17,108.17,365044065
43,Aug 12 2024,97.00,109.44,95.00,109.44,109.44,210295560
44,Aug 9 2024,76.00,91.20,76.00,91.20,91.20,525179173
